nodes,edges,density,components,avg_degree,avg_strength,clustering,transitivity,global_efficiency,local_efficiency,path_length,builder,distance_metric,subject_id,site,session,run,window
190,3591,0.2,1,37.8,25.23687602846246,0.3421803033918306,0.5586891312270472,0.5718926946997006,0.7202974568195901,0.6002030984434501,MST_PT_v1.0,1-|r|,1018959,KKI,1,1,0
190,3591,0.2,1,37.8,24.66731542788054,0.3313049605683939,0.5385902554988806,0.5774389677898327,0.7219048587536393,0.6163381679746575,MST_PT_v1.0,1-|r|,1018959,KKI,1,1,1
190,3591,0.2,1,37.8,24.52894891500473,0.32256366037590584,0.5423665893271462,0.5789334447229143,0.7126535164397823,0.6217454037869484,MST_PT_v1.0,1-|r|,1018959,KKI,1,1,2
190,3591,0.2,1,37.8,24.231793142619885,0.3219849328676875,0.5297118278550608,0.5800891116680498,0.7231973485990459,0.6351703939946439,MST_PT_v1.0,1-|r|,1018959,KKI,1,1,3
190,3591,0.2,1,37.8,24.20424639990455,0.320368306761963,0.5218309730914212,0.5816996194189028,0.7228251229980265,0.6295208999885553,MST_PT_v1.0,1-|r|,1018959,KKI,1,1,4
190,3591,0.2,1,37.8,24.21097999434722,0.3141271261599355,0.5016301729047116,0.5848742225935122,0.7219708895405565,0.6165650619699642,MST_PT_v1.0,1-|r|,1018959,KKI,1,1,5
190,3591,0.2,1,37.8,24.016735799061625,0.30885129558146623,0.48419060127865876,0.5867539218416347,0.7174992439390218,0.6162043754917039,MST_PT_v1.0,1-|r|,1018959,KKI,1,1,6
190,3591,0.2,1,37.8,24.044033794026625,0.31322023266872956,0.4996707758715294,0.5839042049568268,0.7190647291509273,0.6220867656492914,MST_PT_v1.0,1-|r|,1018959,KKI,1,1,7
190,3591,0.2,1,37.8,25.084724416230856,0.34467779682812244,0.5470943560396901,0.5727698876821624,0.7219148395093679,0.6029953068426743,MST_PT_v1.0,1-|r|,1018959,KKI,1,1,8
190,3591,0.2,1,37.8,25.467632783714095,0.3642388382058847,0.554909729438372,0.5665274296853222,0.7280894281387764,0.5981301679115911,MST_PT_v1.0,1-|r|,1018959,KKI,1,1,9
190,3591,0.2,1,37.8,25.257995896590383,0.3484747747921172,0.5383448448180471,0.5731690336953532,0.7230099884675854,0.5994275856768312,MST_PT_v1.0,1-|r|,1018959,KKI,1,1,10
190,3591,0.2,1,37.8,25.022322244393198,0.34805536758578093,0.5200630062445912,0.5758377425044112,0.7289838610549134,0.600731328203631,MST_PT_v1.0,1-|r|,1018959,KKI,1,1,11
190,3591,0.2,1,37.8,25.209205242834592,0.34716348554543924,0.5409650462754965,0.5721266128283711,0.7256097320571008,0.606557137645476,MST_PT_v1.0,1-|r|,1018959,KKI,1,1,12
190,3591,0.2,1,37.8,25.497227560219013,0.3623791504145748,0.5496836065867085,0.570129026269378,0.7235302456103443,0.595641677550903,MST_PT_v1.0,1-|r|,1018959,KKI,1,1,13
