,subject_id,subject_id,session,session,run,run,avg_degree_mean,avg_degree_mean,avg_degree_std,avg_degree_std,avg_degree_median,avg_degree_median,avg_degree_min,avg_degree_min,avg_degree_max,avg_degree_max,avg_strength_mean,avg_strength_mean,avg_strength_std,avg_strength_std,avg_strength_median,avg_strength_median,avg_strength_min,avg_strength_min,avg_strength_max,avg_strength_max,clustering_mean,clustering_mean,clustering_std,clustering_std,clustering_median,clustering_median,clustering_min,clustering_min,clustering_max,clustering_max,transitivity_mean,transitivity_mean,transitivity_std,transitivity_std,transitivity_median,transitivity_median,transitivity_min,transitivity_min,transitivity_max,transitivity_max,global_efficiency_mean,global_efficiency_mean,global_efficiency_std,global_efficiency_std,global_efficiency_median,global_efficiency_median,global_efficiency_min,global_efficiency_min,global_efficiency_max,global_efficiency_max,local_efficiency_mean,local_efficiency_mean,local_efficiency_std,local_efficiency_std,local_efficiency_median,local_efficiency_median,local_efficiency_min,local_efficiency_min,local_efficiency_max,local_efficiency_max,path_length_mean,path_length_mean,path_length_std,path_length_std,path_length_median,path_length_median,path_length_min,path_length_min,path_length_max,path_length_max
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KKI,3449295.325301205,2098555.7483083173,1.0,0.0,1.0,0.0,37.8,0.0,0.0,0.0,37.8,0.0,37.8,0.0,37.8,0.0,23.236840191694824,0.7343538873955474,0.8418109622757729,0.29299359801079816,23.16483702750318,0.792779303121154,21.91307484264153,0.5532283483927782,24.76960354815122,1.0516461471367915,0.29306126009941275,0.021334284093418365,0.025340574699875072,0.008407446917242576,0.290895265753185,0.02288791023792251,0.25358307663670865,0.016429868767808477,0.33996589567106117,0.030757114440866658,0.46755590668118746,0.02743566403900471,0.036061493426674834,0.012188818154476515,0.4629208610061385,0.030838381589651343,0.4139001522142101,0.022479659235487927,0.5368890337669707,0.04308689220265611,0.5885879231946272,0.004621772569802139,0.00569962708431446,0.002743625135852397,0.589837070364438,0.00498361725133988,0.5761994119613991,0.009559858268529505,0.5955649386742154,0.0021184170648953756,0.7086889516095741,0.008919267672965537,0.010722636770674275,0.0030105634333431348,0.7083871755182894,0.009494232376117899,0.6907105000802027,0.008383736127093566,0.7286802189415899,0.012736564989775634,0.648208400785495,0.02142266048159613,0.02304695786074866,0.008276925758751698,0.6491793028227999,0.023273838282862877,0.6070466089780324,0.030644530149240325,0.6866159744934756,0.01708046594225152
NYU,1494545.2325581396,2270279.498746213,1.0,0.0,1.416279069767442,0.1871206224968713,37.8,0.0,0.0,0.0,37.8,0.0,37.8,0.0,37.8,0.0,25.253638665529,0.8405954780842092,1.0222737545437808,0.3122782910884681,25.17171826774079,0.8572522373488406,23.525382098671567,0.62179129897897,27.245628738527344,1.2740098105765676,0.33547874984161913,0.024302319574923088,0.03155170319824349,0.008502268557784328,0.33320603097732115,0.025278863355211123,0.28146830695864117,0.018183520768184334,0.3964572600009523,0.034901318461270224,0.502669081938359,0.026188985624305265,0.041651899137499414,0.010822599687518458,0.4989894738041056,0.027227562712819023,0.43348017515094467,0.01959751332258326,0.5861418060484355,0.04163280267940016,0.5816242029850509,0.007629681693484564,0.009558667724253886,0.00434619271978642,0.5837257234068767,0.007292716318111113,0.5595469209737787,0.016223016681088442,0.5941976280062742,0.0029909436061549923,0.7223243161157694,0.007787672774232107,0.011783059692657338,0.0034747670859793874,0.7220850673496496,0.008324862046422337,0.7001600664842438,0.008301056356503784,0.745762061115769,0.011571397836096953,0.5653145167105107,0.02582960061034496,0.027441902593534455,0.008302663987035197,0.5665429276785772,0.02709037618668027,0.5123545325080093,0.03675920171206763,0.6140880548644586,0.01922529186277406
NeuroIMAGE,3786931.4166666665,2204208.7641973714,1.0,0.0,1.0,0.0,37.8,0.0,0.0,0.0,37.8,0.0,37.8,0.0,37.8,0.0,25.207267462437326,1.8674052005898638,1.0153781125278702,0.41206722943691104,25.110016088573293,1.920275127233615,23.364225923662122,1.6514755530792355,27.405594240795626,2.276600645751817,0.3288467363286402,0.04901726656964617,0.031339494281903295,0.010862194249378196,0.3263844603061615,0.05175738467028747,0.27148428009500886,0.03685182549121292,0.3965643111408998,0.06507954750328582,0.49255427450603245,0.04494737683388475,0.04238878017782067,0.01297484188713788,0.4875211610333258,0.04644795806915522,0.4202363758189067,0.036622750135880205,0.5870980134727567,0.059652299248479784,0.582351700174594,0.019634381036044153,0.0091130660017708,0.005945101916264637,0.5844903953867718,0.01943897199260462,0.558387335855222,0.031175091966847538,0.594233992875735,0.014044198512783993,0.7174083401551057,0.010446277172923945,0.01248745664913555,0.005736955464792957,0.7169946189193669,0.010637920965531344,0.6918795833477582,0.01088921216830424,0.7443274511186052,0.020380922410364516,0.5610303195027103,0.06808708381238615,0.028915541127034473,0.012949997191516568,0.5622393239787645,0.07276407841174522,0.50146088102409,0.08252924554952752,0.6187250214643831,0.04080229379212966
OHSU,3120493.088607595,1786187.857548011,1.0,0.0,2.0,0.1386750490563073,37.8,0.0,0.0,0.0,37.8,0.0,37.8,0.0,37.8,0.0,24.678809837515107,1.1176875887264315,0.8816295238875245,0.29833810754859,24.680982438976397,1.1617813125047307,23.426016467204764,0.9172019549928389,25.936015460465633,1.36869099069935,0.33208644407518845,0.032455007919534005,0.026137014399383374,0.008431161824860775,0.33173652735758796,0.03351061607724199,0.29524438447543383,0.02724240344424306,0.36980075222108233,0.03897760254431331,0.5037109775245501,0.031601363884633776,0.031158620726854786,0.007668348299694678,0.5031357085700757,0.03288759709640141,0.459511268290566,0.029240170632537733,0.5488471859271843,0.036165186691696105,0.5804839237272108,0.007945747459612622,0.007238045391613246,0.003151438940051649,0.5811438180934385,0.008181950172719473,0.5691406850040648,0.011980019541960164,0.5897009430514822,0.005066495355492959,0.7252018716705951,0.012687592393032528,0.0108212737476359,0.003332971864103275,0.7254447901655431,0.013204662769033,0.709422385235051,0.011377156889064753,0.7409358421382368,0.01493646050560625,0.5979235614400682,0.036717187797598715,0.027069016656358576,0.010028601587309347,0.5973996289997179,0.03801825024293113,0.5592302929679134,0.045524232707654835,0.6363552646462451,0.028222824750179728
Peking_1,3629032.9176470586,2300953.589594133,1.0,0.0,1.0,0.0,37.8,0.0,0.0,0.0,37.8,0.0,37.8,0.0,37.8,0.0,25.112381778192386,0.7370760659476772,0.9780636629096536,0.37147800161317124,25.01133841207522,0.7010981426157407,23.436087280046827,0.4893801938996497,27.226229015120044,1.5169373502404766,0.3297858171595131,0.022180554401750298,0.030380088543272003,0.009907966945650135,0.327280922458868,0.021239087030328403,0.27664200992382637,0.015975797720378375,0.3955443270812704,0.04180288857180022,0.4950562737919361,0.025765442063343823,0.04070248359539662,0.011506224326975055,0.4904371831645221,0.02589440325091027,0.42652319939630007,0.018802239858892757,0.5834849741740447,0.04664011547356589,0.5836210593087767,0.00657901680853715,0.00908040649779643,0.005341359770719642,0.5857489038500321,0.005863410560231531,0.5599290516844658,0.020356185396951117,0.5952199671291492,0.0019281982837882079,0.7210340058579245,0.007344442986479152,0.011374680095096647,0.002789731349032088,0.7209099309038961,0.007464717190225641,0.6986204567907376,0.007598455255965797,0.7453057522486441,0.010950673536561902,0.5665350167413121,0.020374242049747287,0.02591621747967838,0.008996367955527712,0.5685129511395409,0.019459916052782016,0.5116050304959876,0.037211998977090065,0.6135742682375259,0.014766071087843372
Peking_2,3474900.567164179,2118840.8356457134,1.0,0.0,1.0,0.0,37.8,0.0,0.0,0.0,37.8,0.0,37.8,0.0,37.8,0.0,25.364245369305973,0.9151310796927531,1.0414008601370788,0.3932463995271495,25.289889052404913,0.9316899720673635,23.506792079517435,0.632442410169547,27.57841373437142,1.6024173976129217,0.3372988813424351,0.027971425065032064,0.03219358624371377,0.011159653999122526,0.3354890266939091,0.028899255145370683,0.28009037355575994,0.020341992693869944,0.405242036081138,0.04656536463081912,0.5018271264160303,0.030259230709307017,0.041747420286541735,0.01192669018605701,0.49818820741290215,0.031523354061507955,0.42920655314669764,0.022752633247361098,0.5907841134941391,0.048223199637734436,0.5817778023131688,0.0076264476406765645,0.009610943814712251,0.004987433834970609,0.5837461398105482,0.007348949318681739,0.558133061337961,0.01939843013489068,0.5946542004541447,0.002815430509481602,0.7239464942721957,0.010179876550265645,0.011899126816430154,0.0033178271160964183,0.7237335840393865,0.01050759267193388,0.6993153947010275,0.010792606513081135,0.7490140014968875,0.01474468816212044,0.5579332886868131,0.027471098741686985,0.02880162499035124,0.011626385662074582,0.5605370852744012,0.02646603796930553,0.4971667815337716,0.04735540017702201,0.612189614935931,0.020077439845330225
Peking_3,3298531.1428571427,1724445.7241607157,1.0,0.0,1.0,0.0,37.8,0.0,0.0,0.0,37.8,0.0,37.8,0.0,37.8,0.0,25.46027855115106,0.6343597106922044,0.940821138420458,0.313984109996374,25.407302500565248,0.6331212012115633,23.723688724689318,0.5612654080456843,27.422751886489102,1.1785002903267858,0.34063104197812577,0.019349425464468065,0.029450234000154816,0.009087473908552558,0.3388113777648223,0.019749937255424163,0.28630920174128077,0.016759588463677377,0.4016150082525325,0.03455100341244787,0.5056986242581905,0.02319607031649025,0.03891353931056051,0.011763267048772221,0.5024012557471158,0.02307204456003638,0.43614848064133116,0.019951562521440275,0.5891494963966736,0.043810459247293924,0.5817157382242617,0.005098144893366009,0.008839776157761091,0.004046613205439607,0.5835392051557377,0.004928096437494553,0.5588535039623039,0.015543345548567155,0.5941128173166567,0.0021409387006752017,0.7263953027228515,0.007690716207986653,0.011058244267969912,0.0021950781548919366,0.7261815775561198,0.007520530423012172,0.7042785847553882,0.008012211129852427,0.7496288648008157,0.010619998241259098,0.5547292330809269,0.018409771769162024,0.025727183821018924,0.007379550628060601,0.5559392425384269,0.01868890672926912,0.5025846000827335,0.03036355697924267,0.6055518363445973,0.01642595396933489
Pittsburgh,16045.056818181818,25.97848710103126,1.0,0.0,1.0,0.0,37.8,0.0,0.0,0.0,37.8,0.0,37.8,0.0,37.8,0.0,27.42081685762561,0.8351476846859,0.9868985190686527,0.2886603138980668,27.292966771304034,0.8373595775662961,25.729284425322234,0.5982753138345414,29.449766265283646,1.2539652499786444,0.3761541583340678,0.02721764289597675,0.031968284218506345,0.00826609933314186,0.37249837438119254,0.02875695597351789,0.3205443150584108,0.020692058171355318,0.44131751619949394,0.03589218134045025,0.5239229218410177,0.029228121664554664,0.04027604590584185,0.010962948976669669,0.5181164490680067,0.029009000388990108,0.4570121117964845,0.02220286633562808,0.6098911497948504,0.04627007795235765,0.5765401873341337,0.009406237424914234,0.01149941360328397,0.004851439984348443,0.5791804004961825,0.009519506485269615,0.5495930726615387,0.01894533559677392,0.592077732209307,0.004059603115860045,0.7371202645098989,0.00849409829129828,0.01093105920511152,0.0025510394002070144,0.7368065426779263,0.009122306589196947,0.7155086712862713,0.01007950139210581,0.7595919774225606,0.009769913187523646,0.458427424855083,0.02413051713116763,0.026806211775752545,0.007137692081986688,0.46008606195707863,0.02448606836823408,0.4043493287169068,0.03539532740594481,0.5084827006393959,0.018952211161579042
