Architecture,Fold,Test_Site,N_Test,AUC,BA,Sensitivity,Specificity,Precision,F1,Brier,Best_Epoch,Best_Val_AUC,Best_Val_Loss
GCN,0,KKI,83,0.6020864381520119,0.5458271236959762,0.6818181818181818,0.4098360655737705,0.29411764705882354,0.410958904109589,0.2527211308479309,2,0.6520979020979021,0.6627610325813293
GCN,1,NYU,93,0.4653371320037987,0.5327635327635327,0.2962962962962963,0.7692307692307693,0.64,0.4050632911392405,0.2555386424064636,0,0.6358418367346939,0.6783068180084229
GCN,2,NeuroIMAGE,48,0.5373913043478261,0.5426086956521738,0.52,0.5652173913043478,0.5652173913043478,0.5416666666666666,0.2551182806491852,2,0.6442307692307692,0.6739783883094788
GCN,3,OHSU,79,0.49292149292149295,0.5119047619047619,1.0,0.023809523809523808,0.47435897435897434,0.6434782608695652,0.26297760009765625,0,0.6811342592592592,0.6839292049407959
GCN,4,Peking_1,85,0.5478142076502732,0.5317622950819672,0.375,0.6885245901639344,0.32142857142857145,0.34615384615384615,0.2395326793193817,3,0.6858974358974359,0.6630669832229614
GCN,5,Peking_2,67,0.5026785714285713,0.49955357142857143,0.34285714285714286,0.65625,0.5217391304347826,0.41379310344827586,0.2534526586532593,1,0.7088888888888889,0.6600642800331116
GCN,6,Peking_3,42,0.6796338672768879,0.620137299771167,0.631578947368421,0.6086956521739131,0.5714285714285714,0.6,0.2274026870727539,3,0.5897435897435898,0.682352602481842
GAT,0,KKI,83,0.6281669150521609,0.5517883755588673,0.13636363636363635,0.9672131147540983,0.6,0.2222222222222222,0.22706687450408936,0,0.6835664335664335,0.6752145290374756
GAT,1,NYU,93,0.566951566951567,0.5477207977207977,0.35185185185185186,0.7435897435897436,0.6551724137931034,0.4578313253012048,0.3065745532512665,12,0.7295918367346939,0.6515610218048096
GAT,2,NeuroIMAGE,48,0.5547826086956522,0.5608695652173913,0.6,0.5217391304347826,0.5769230769230769,0.5882352941176471,0.2755861282348633,12,0.618421052631579,0.708101212978363
GAT,3,OHSU,79,0.5141570141570142,0.4790862290862291,0.6486486486486487,0.30952380952380953,0.4528301886792453,0.5333333333333333,0.2503017485141754,0,0.6921296296296297,0.6747275590896606
GAT,4,Peking_1,85,0.5655737704918032,0.6092896174863388,0.3333333333333333,0.8852459016393442,0.5333333333333333,0.41025641025641024,0.23011527955532074,3,0.6311188811188813,0.67295902967453
GAT,5,Peking_2,67,0.5491071428571428,0.5383928571428571,0.5142857142857142,0.5625,0.5625,0.5373134328358209,0.24971358478069305,3,0.5977777777777777,0.6773079037666321
GAT,6,Peking_3,42,0.6475972540045766,0.5560640732265446,0.8947368421052632,0.21739130434782608,0.4857142857142857,0.6296296296296297,0.24312838912010193,1,0.6232741617357002,0.6819885969161987
SAGE,0,KKI,83,0.5238450074515648,0.5465722801788375,0.8636363636363636,0.22950819672131148,0.2878787878787879,0.4318181818181818,0.31475627422332764,5,0.6334498834498834,0.6746560335159302
SAGE,1,NYU,93,0.5427350427350428,0.5541310541310541,0.5185185185185185,0.5897435897435898,0.6363636363636364,0.5714285714285714,0.3546362817287445,31,0.6926020408163265,1.1080025434494019
SAGE,2,NeuroIMAGE,48,0.5304347826086957,0.4547826086956522,0.04,0.8695652173913043,0.25,0.06896551724137931,0.2520683705806732,0,0.6330971659919029,0.6834206581115723
SAGE,3,OHSU,79,0.5373230373230373,0.5051480051480052,0.4864864864864865,0.5238095238095238,0.47368421052631576,0.48,0.24832716584205627,2,0.6550925925925926,0.66031414270401
SAGE,4,Peking_1,85,0.5225409836065573,0.5235655737704918,0.375,0.6721311475409836,0.3103448275862069,0.33962264150943394,0.24438469111919403,1,0.6078088578088577,0.6822990775108337
SAGE,5,Peking_2,67,0.5446428571428572,0.5361607142857143,0.22857142857142856,0.84375,0.6153846153846154,0.3333333333333333,0.24989578127861023,0,0.7133333333333334,0.6668903231620789
SAGE,6,Peking_3,42,0.6498855835240276,0.482837528604119,0.05263157894736842,0.9130434782608695,0.3333333333333333,0.09090909090909091,0.23867186903953552,0,0.616370808678501,0.68293696641922
GIN,0,KKI,83,0.5119225037257824,0.46572280178837555,0.6363636363636364,0.29508196721311475,0.24561403508771928,0.35443037974683544,0.4382939636707306,9,0.6206293706293706,1.2800003290176392
GIN,1,NYU,93,0.5256410256410257,0.5227920227920227,0.48148148148148145,0.5641025641025641,0.6046511627906976,0.5360824742268041,0.3271656930446625,4,0.6772959183673469,0.7474667429924011
GIN,2,NeuroIMAGE,48,0.4591304347826087,0.4930434782608696,0.16,0.8260869565217391,0.5,0.24242424242424243,0.4020327627658844,7,0.6406882591093118,1.004492163658142
GIN,3,OHSU,79,0.5553410553410554,0.5022522522522522,0.8378378378378378,0.16666666666666666,0.4696969696969697,0.6019417475728155,0.2955436110496521,2,0.6550925925925926,0.714114785194397
GIN,4,Peking_1,85,0.5799180327868853,0.5519125683060109,0.3333333333333333,0.7704918032786885,0.36363636363636365,0.34782608695652173,0.25076016783714294,7,0.6101398601398601,1.0936094522476196
GIN,5,Peking_2,67,0.5151785714285715,0.5379464285714286,0.8571428571428571,0.21875,0.5454545454545454,0.6666666666666666,0.2783719301223755,0,0.6327777777777778,0.7431726455688477
GIN,6,Peking_3,42,0.6590389016018307,0.6453089244851258,0.42105263157894735,0.8695652173913043,0.7272727272727273,0.5333333333333333,0.243877574801445,1,0.6134122287968442,0.7420021295547485
